,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,-3.01168035395882,0.131229664872894,-22.9496917246253,1.48395389469876e-116,9.65955055189245e-113,Downregulated,PcB target,GSN
2,EYA4,799.790347207316,-4.35420319386938,0.208978745778371,-20.8356269803972,2.05802546027516e-96,5.02364014853167e-93,Downregulated,PcB target,EYA4
3,SFRP1,671.658757173415,-7.03385543131825,0.376250976443672,-18.694583859429,5.47963265806813e-78,9.72784241334132e-75,Downregulated,PcB target,SFRP1
4,DMRTA2,523.923170832472,-7.73451601041489,0.454444310159083,-17.0197224115477,5.86480070626776e-65,7.63518854613312e-62,Downregulated,PcB target,DMRTA2
5,ITPKB,1892.84488715906,-1.98103576812055,0.118757849449666,-16.6813038237122,1.79263260050555e-62,1.59120588284874e-59,Downregulated,PcB target,ITPKB
6,MAGEA6,347.412354860506,6.18154018509337,0.377771854592083,16.3631570482353,3.50477774349699e-60,2.97570868586997e-57,Upregulated,PcB target,MAGEA6
7,ABLIM1,1572.91711703577,2.20218879067996,0.139102517846672,15.831408552269,1.88943676612825e-56,1.36655263588713e-53,Upregulated,PcB target,ABLIM1
8,PCDH1,289.425689217522,-4.61377318157756,0.296888385748992,-15.5404300169503,1.84739660655563e-54,1.20253203109394e-51,Downregulated,PcB target,PCDH1
9,ANK1,387.022508081908,-3.98274097083967,0.266333224284115,-14.9539772273812,1.46718503097099e-50,7.95866369022266e-48,Downregulated,PcB target,ANK1
10,PDLIM3,306.644767021359,-6.50343097674224,0.435089122815202,-14.947353624155,1.62062527696969e-50,8.55339740774707e-48,Downregulated,PcB target,PDLIM3
11,RAB29,194.42488404359,-3.81551667404567,0.263553866111392,-14.4771796761768,1.68885891566071e-47,7.49546293295964e-45,Downregulated,PcB target,RAB29
12,ARHGAP29,510.923699849386,-3.09864992231182,0.217042033339984,-14.2767272985227,3.05620391394244e-46,1.24336562565558e-43,Downregulated,PcB target,ARHGAP29
13,CCND2,2303.18435034278,-1.32531978539727,0.0930402673431216,-14.2445827300737,4.84432845130666e-46,1.93061318361462e-43,Downregulated,PcB target,CCND2
14,NT5E,285.760101132116,-5.92676347888635,0.417096773497084,-14.2095644355968,7.99210457192037e-46,3.06019251138159e-43,Downregulated,PcB target,NT5E
15,SLIT2,479.803631262113,3.46561787531736,0.24501027829512,14.144785677697,2.01128472490829e-45,7.55314771307865e-43,Upregulated,PcB target,SLIT2
16,RIMS4,1156.42645197058,-2.56598751755468,0.183476001379318,-13.9854122515444,1.91364744935605e-44,6.92031618352313e-42,Downregulated,PcB target,RIMS4
17,STOM,467.772332509094,-2.62758329032774,0.190057475290306,-13.8252035933562,1.79603603130566e-43,6.02765702514505e-41,Downregulated,PcB target,STOM
18,CDH8,376.692191224155,2.70893326415346,0.199980152615862,13.5460105851454,8.3654627650581e-42,2.5930278869215e-39,Upregulated,PcB target,CDH8
19,CAVIN1,930.208149203013,-4.49361508971727,0.332470698778467,-13.5158229168083,1.26137282632717e-41,3.73213462916924e-39,Downregulated,PcB target,CAVIN1
20,VCAN,872.190900896411,2.44181823712408,0.182362599525488,13.3899069407748,6.92674811320173e-41,1.98919907580299e-38,Upregulated,PcB target,VCAN
21,CDH11,225.326643648136,3.1283579107183,0.235387555168047,13.2902434391016,2.63718823797401e-40,7.15264054321617e-38,Upregulated,PcB target,CDH11
22,OTULINL,322.325809307162,6.01643123098694,0.458051771543864,13.1348279927148,2.07963443970359e-39,5.14064573905464e-37,Upregulated,PcB target,OTULINL
23,RUNX1,245.637679130731,-3.16542081280988,0.244976459337468,-12.9213264873314,3.41207847626535e-38,7.93227005767974e-36,Downregulated,PcB target,RUNX1
24,LINC01694,235.092491066917,4.07141876543083,0.315659958701673,12.8981160048832,4.61235900129153e-38,1.04732728578164e-35,Upregulated,PcB target,LINC01694
25,EFHD1,280.360428941105,-2.74949327676172,0.214045480286122,-12.8453694658088,9.13149242416197e-38,2.003593079315e-35,Downregulated,PcB target,EFHD1
26,S1PR3,195.331212884121,-4.92611887517031,0.386563782320019,-12.7433533622977,3.39483086151999e-37,7.12841473803896e-35,Downregulated,PcB target,S1PR3
27,HSPA12A,351.116945842277,2.42858359907194,0.191705418968778,12.6683095977974,8.86031772670494e-37,1.82130825860099e-34,Upregulated,PcB target,HSPA12A
28,TNFRSF19,322.494908848589,-2.16962754415573,0.173017525530435,-12.5399293366617,4.51397874572035e-36,9.08752339653886e-34,Downregulated,PcB target,TNFRSF19
29,CHST2,258.381846032204,-3.0247912309231,0.241415261054181,-12.5294118429582,5.15434993182309e-36,1.01670854008729e-33,Downregulated,PcB target,CHST2
30,ADARB2,321.128403819339,6.99429232417314,0.570145475377377,12.2675573625199,1.35272884913945e-34,2.54000855442262e-32,Upregulated,PcB target,ADARB2
31,NAB1,362.670122078312,1.94726703334026,0.160186158658919,12.1562752340328,5.31262626294129e-34,9.69579118343154e-32,Upregulated,PcB target,NAB1
32,HEY2,169.870931782184,-3.0850203917964,0.259930163628725,-11.8686509819727,1.72222281430741e-32,2.8501328065928e-30,Downregulated,PcB target,HEY2
33,LIMS2,165.073826839643,4.2922504494579,0.363413411809868,11.810930224291,3.4274804783071e-32,5.48621629347386e-30,Upregulated,PcB target,LIMS2
